id;target_recovery;name
1;100;scl_ja
2;100;nem_er
3;100;thr_sc
4;100;neo_be
5;100;neo_gr
6;100;neo_le
7;100;neo_pa
8;100;ano_da
9;100;neo_at
10;100;neo_hy
11;100;por_re
12;100;arr_sc
13;100;zen_sp
14;100;str_kr
15;100;cra_st
16;28;iri_we
17;5;mel_ni
18;100;mel_si
19;48;pse_te
20;100;oph_sp
21;15;amb_sp
22;100;amb_ag
23;100;amb_ma
24;100;den_ba
25;100;lat_ca
26;100;amn_pe
27;100;hep_ca
28;100;hep_fu
29;11;var_la
30;100;lei_un
31;100;sco_og
32;100;glo_ap
33;100;tox_ch
34;10;chl_ra
35;100;glo_au
36;26;glo_gi
37;100;glo_sp
38;10;hyp_co
39;100;mog_mo
40;100;oxy_li
41;100;oxy_se
42;94;syn_sa
43;100;syn_se
44;100;meg_cy
45;6;mel_ss
